#,编号,卡名,冷却回合,时序,卡牌位置,效果,类型,数值
Card,21001,血流成河,-2,6,1,移动,移动,1
Card,21002,血流成河,-2,6,1,攻击,近战,0
Card,21003,血流成河,-2,6,1,状态,Poisoned,0
Card,21004,血流成河,-2,6,1,状态,Corrupted,0
Card,21005,血流成河,-2,6,1,状态,Disarmed,0
Card,21006,血流成河,-2,6,1,状态,Stasis,99
Card,21007,血流成河,-2,6,1,自身,自身,1
Card,21008,血流成河,-2,6,1,状态,Stealthy,99
Card,30101,剑击,5,40,0,移动,移动,2
Card,30102,剑击,5,40,0,攻击,近战,3
Card,30101,健步,5,40,1,移动,移动,5
Card,30201,切割,6,34,0,移动,移动,1
Card,30202,切割,6,34,0,攻击,穿刺,4
Card,30201,盾防,5,34,1,移动,移动,5
Card,30202,盾防,5,34,1,状态,护甲,1
Card,30301,正当防卫,6,34,0,移动,移动,3
Card,30302,正当防卫,6,34,0,攻击,近战,3
Card,30303,正当防卫,6,34,0,状态,护甲,1
Card,30301,固守边疆,4,34,1,移动,移动,1
Card,30302,固守边疆,4,34,1,状态,护甲,2
Card,30401,嗜血,-1,26,0,移动,移动,4
Card,30402,嗜血,-1,26,0,攻击,近战,3
Card,30403,嗜血,-1,26,0,自身,自身,1
Card,30404,嗜血,-1,26,0,治疗,自身,2
Card,30401,独狼,6,26,1,移动,移动,5
Card,30402,独狼,6,26,1,自身,自身,1
Card,30403,独狼,6,26,1,效果,ArmorPenetration,99
Card,30501,血刃,-1,40,0,移动,移动,2
Card,30502,血刃,-1,40,0,攻击,近战,3
Card,30503,血刃,-1,40,0,自身,自身,1
Card,30504,血刃,-1,40,0,治疗,自身,4
Card,30501,狼群,6,40,1,移动,移动,4
Card,30502,狼群,6,40,1,自身,自身,1
Card,30503,狼群,6,40,1,状态,护甲,2
Card,30601,狼奔豕突,-1,58,0,移动,移动,2
Card,30602,狼奔豕突,-1,58,0,攻击,近战,4
Card,30603,狼奔豕突,-1,58,0,自身,自身,1
Card,30604,狼奔豕突,-1,58,0,治疗,自身,4
Card,30601,引狼入室,-1,58,1,移动,移动,5
Card,30602,引狼入室,-1,58,1,治疗,自身,2
Card,30603,引狼入室,-1,58,1,状态,破甲,0
Card,30701,狼齿,3,26,0,移动,移动,1
Card,30702,狼齿,3,26,0,攻击,近战,3
Card,30703,狼齿,3,26,0,治疗,治疗自己,1
Card,30701,原野,4,26,1,移动,移动,5
Card,30801,磨砺,4,62,0,移动,移动,2
Card,30802,磨砺,4,62,0,攻击,穿刺,3
Card,30803,磨砺,4,62,0,自身,自身,1
Card,30804,磨砺,4,62,0,治疗,治疗自己,1
Card,30801,血迹,-1,62,1,移动,移动,5
Card,30802,血迹,-1,62,1,自身,自身,1
Card,30803,血迹,-1,62,1,治疗,自身,4
Card,30901,同行狼狈,-1,62,0,移动,移动,1
Card,30902,同行狼狈,-1,62,0,攻击,近战,3
Card,30903,同行狼狈,-1,62,0,移动,移动,1
Card,30904,同行狼狈,-1,62,0,攻击,近战,3
Card,30901,情同手足,5,62,1,移动,移动,5
Card,30902,情同手足,5,62,1,自身,自身,1
Card,30903,情同手足,5,62,1,状态,护甲,4
Card,30904,情同手足,5,62,1,状态,Disable,99
Card,40101,三板斧,-1,36,0,攻击,近战,1
Card,40102,三板斧,-1,36,0,攻击,近战,2
Card,40103,三板斧,-1,36,0,攻击,穿刺,3
Card,40101,一字马,8,36,1,移动,移动,3
Card,40102,一字马,8,36,1,自身,自身,1
Card,40103,一字马,8,36,1,状态,护甲,3
Card,40201,你好,7,60,0,远程,远程,5
Card,40202,你好,7,60,0,拉近,拉近,4
Card,40201,滚开,7,60,1,移动,移动,3
Card,40202,滚开,7,60,1,推远,推远,3
Card,40301,撕裂,8,36,0,移动,移动,4
Card,40302,撕裂,8,36,0,攻击,近战,3
Card,40303,撕裂,8,36,0,状态,Grounded,0
Card,40301,拥抱,-1,36,1,攻击,远程5,1
Card,40302,拥抱,-1,36,1,拉近,拉近,5
Card,40303,拥抱,-1,36,1,自身,自身,1
Card,40304,拥抱,-1,36,1,状态,护甲,3
Card,40401,大斧头,5,18,0,移动,移动,3
Card,40402,大斧头,5,18,0,攻击,近战,4
Card,40403,大斧头,5,18,0,自身,自身,1
Card,40404,大斧头,5,18,0,状态,护甲,3
Card,40405,大斧头,5,18,0,状态,Stasis,99
Card,40401,大冲刺,-1,18,1,移动,直线移动,8
Card,40501,飞斧,6,88,0,攻击,远程,4
Card,40501,盾墙,6,88,1,移动,移动,3
Card,40502,盾墙,6,88,1,自身,自身,1
Card,40503,盾墙,6,88,1,护盾,护盾,4
Card,40601,设防,-2,36,0,状态,永久护甲,1
Card,40602,设防,-2,36,0,自身,自身,1
Card,40603,设防,-2,36,0,状态,Stasis,99
Card,40601,叠甲,2,36,1,移动,移动,4
Card,40602,叠甲,2,36,1,自身,自身,1
Card,40603,叠甲,2,36,1,状态,护甲,2
Card,40701,突破,5,36,0,移动,移动,1
Card,40702,突破,5,36,0,攻击,远程2,3
Card,40703,突破,5,36,0,推远,推远,4
Card,40701,护卫,6,36,1,移动,移动,3
Card,40702,护卫,6,36,1,攻击,近战,0
Card,40703,护卫,6,36,1,状态,Grounded,99
Card,40704,护卫,6,36,1,自身,自身,1
Card,40705,护卫,6,36,1,状态,护甲,2
Card,40801,狼狈为奸,-1,60,0,移动,移动,4
Card,40802,狼狈为奸,-1,60,0,攻击,远程4,0
Card,40803,狼狈为奸,-1,60,0,拉近,拉近,4
Card,40804,狼狈为奸,-1,60,0,攻击,远程4,0
Card,40805,狼狈为奸,-1,60,0,拉近,拉近,4
Card,40801,舍身取义,-1,60,1,移动,移动,4
Card,40802,舍身取义,-1,60,1,自身,自身,1
Card,40803,舍身取义,-1,60,1,状态,护甲,5
Card,40804,舍身取义,-1,60,1,状态,Grounded,99
Card,40901,斧击,8,18,0,移动,移动,3
Card,40902,斧击,8,18,0,攻击,远程2,3
Card,40903,斧击,8,18,0,状态,Grounded,99
Card,40901,盾击,8,18,1,移动,移动,3
Card,40902,盾击,8,18,1,状态,护甲,3
Card,40903,盾击,8,18,1,推远,推远,2
Card,41001,鬼斧神工,-1,36,0,移动,移动,4
Card,41002,鬼斧神工,-1,36,0,攻击,远程4,4
Card,41003,鬼斧神工,-1,36,0,自身,自身,1
Card,41004,鬼斧神工,-1,36,0,状态,护甲,2
Card,41001,磨盾之暇,-1,36,1,移动,移动,4
Card,41002,磨盾之暇,-1,36,1,攻击,远程4,0
Card,41003,磨盾之暇,-1,36,1,拉近,拉近,4
Card,41004,磨盾之暇,-1,36,1,自身,自身,1
Card,41005,磨盾之暇,-1,36,1,状态,护甲,4
Card,60101,狙击,7,80,0,移动,移动,1
Card,60102,狙击,7,80,0,攻击,直线6穿刺,5
Card,60101,瞄准,6,80,1,移动,移动,3
Card,60101,瞄准,6,80,1,自身,自身,1
Card,60102,瞄准,6,80,1,状态,ArmorPenetration,99
Card,60201,快射,5,28,0,攻击,远程4,5
Card,60201,闪身,5,28,1,移动,移动,5
Card,60301,碎片手雷,-2,28,0,攻击,远程5范围3穿刺,5
Card,60301,预警踱步,7,28,1,移动,移动,3
Card,60302,预警踱步,7,28,1,攻击,近战,0
Card,60303,预警踱步,7,28,1,状态,Grounded,99
Card,60304,预警踱步,7,28,1,移动,移动,1
Card,60401,毒牙,7,80,0,攻击,直线6,5
Card,60402,毒牙,7,80,0,状态,Poisoned,99
Card,60401,蛇步,7,80,1,移动,移动,3
Card,60402,蛇步,7,80,1,攻击,近战,0
Card,60403,蛇步,7,80,1,状态,Poisoned,99
Card,60404,蛇步,7,80,1,自身,自身,1
Card,60405,蛇步,7,80,1,状态,Immune,99
Card,60501,赏金,6,28,0,攻击,远程5,5
Card,60501,通缉,-1,28,1,移动,移动,4
Card,60502,通缉,-1,28,1,攻击,远程5,0
Card,60503,通缉,-1,28,1,状态,Disable,99
Card,60601,星火,-1,28,0,移动,移动,1
Card,60602,星火,-1,28,0,攻击,直线5,6
Card,60601,火星,-2,28,1,移动,移动,4
Card,60602,火星,-2,28,1,攻击,范围3,0
Card,60603,火星,-2,28,1,状态,Grounded,99
Card,60701,酸雨,-1,28,0,攻击,远程4范围3,0
Card,60702,酸雨,-1,28,0,状态,Poisoned,0
Card,60703,酸雨,-1,28,0,状态,Corrupted,99
Card,60701,幻痛,-1,28,1,攻击,远程4范围3,0
Card,60702,幻痛,-1,28,1,状态,Disarmed,0
Card,60703,幻痛,-1,28,1,状态,Stasis,99
Card,60801,劫后余生,-2,92,0,移动,移动,4
Card,60802,劫后余生,-2,92,0,自身,自身,1
Card,60803,劫后余生,-2,92,0,攻击,近战,4
Card,60804,劫后余生,-2,92,0,自身,自身,1
Card,60805,劫后余生,-2,92,0,状态,Invincible,99
Card,60801,过往云烟,-2,92,1,自身,自身,1
Card,60802,过往云烟,-2,92,1,状态,Immune,99
Card,60803,过往云烟,-2,92,1,攻击,范围3穿刺,6
Card,60901,独眼,8,92,0,攻击,直线6,7
Card,60901,断肢,-2,92,1,攻击,直线6,8
Card,60902,断肢,-2,92,1,状态,Grounded,99
Card,61001,蛇眼,9,92,0,攻击,远程6,6
Card,61001,陨星,-2,92,1,移动,移动,2
Card,61002,陨星,-2,92,1,攻击,范围3,5
Card,61003,陨星,-2,92,1,状态,Stasis,99
Card,80101,氧化,8,22,0,攻击,远程4穿刺,5
Card,80101,还原,8,22,1,移动,移动,5
Card,80102,还原,8,22,1,攻击,远程4,0
Card,80103,还原,8,22,1,状态,Disarmed,99
Card,80201,游戏一场,8,22,0,移动,移动,2
Card,80202,游戏一场,8,22,0,攻击,远程4,0
Card,80203,游戏一场,8,22,0,状态,Disable,0
Card,80204,游戏一场,8,22,0,状态,Corrupted,99
Card,80201,梦境一场,8,22,1,移动,移动,2
Card,80202,梦境一场,8,22,1,攻击,远程4,0
Card,80203,梦境一场,8,22,1,状态,Grounded,0
Card,80204,梦境一场,8,22,1,状态,Poisoned,99
Card,80301,红玫瑰,-2,12,0,攻击,远程4,5
Card,80302,红玫瑰,-2,12,0,攻击,Grounded,5
Card,80303,红玫瑰,-2,12,0,状态,Disarmed,99
Card,80301,花千树,-2,12,1,移动,移动,4
Card,80302,花千树,-2,12,1,攻击,近战,5
Card,80303,花千树,-2,12,1,状态,Disable,0
Card,80304,花千树,-2,12,1,状态,Corrupted,0
Card,80401,两人烟火,-2,12,0,攻击,远程4范围3,3
Card,80402,两人烟火,-2,12,0,攻击,远程4范围3,3
Card,80401,情归一尽,-2,12,1,自身,受伤,2
Card,80402,情归一尽,-2,12,1,攻击,远程5范围4,3
Card,80403,情归一尽,-2,12,1,状态,Stasis,99
Card,80501,灰烬,8,12,0,移动,移动,5
Card,80502,灰烬,8,12,0,攻击,远程4,3
Card,80503,灰烬,8,12,0,状态,Disable,99
Card,80501,灼伤,8,12,1,移动,移动,5
Card,80502,灼伤,8,12,1,攻击,远程4,3
Card,80503,灼伤,8,12,1,状态,Grounded,99
Card,80601,炽热,6,86,0,移动,移动,5
Card,80602,炽热,6,86,0,攻击,近战,5
Card,80603,炽热,6,86,0,状态,Stasis,99
Card,80601,旭日,6,86,1,攻击,远程5,0
Card,80602,旭日,6,86,1,状态,Stasis,99
Card,80701,热天午后,-2,86,0,移动,移动,5
Card,80702,热天午后,-2,86,0,攻击,远程5,5
Card,80703,热天午后,-2,86,0,状态,Stasis,99
Card,80701,落日余晖,-2,86,1,自身,治疗,3
Card,80702,落日余晖,-2,86,1,攻击,远程5,3
Card,80703,落日余晖,-2,86,1,状态,Stasis,99
Card,80801,熵增,-2,12,0,攻击,远程5,3
Card,80802,熵增,-2,12,0,状态,Stasis,0
Card,80802,熵增,-2,12,0,状态,Disarmed,99
Card,80801,焓减,-2,12,1,攻击,远程5,3
Card,80802,焓减,-2,12,1,状态,Stasis,0
Card,80803,焓减,-2,12,1,状态,Poisoned,99
